motif	region	region.gc	region.avgid	RNAphylo	RNAphylo.fdr	hmmpair	no.seq	alignment.len	avgid	no.bps	fraction.paired	expected.covary	observed.covary	alignment.power	fraction.covarying
K00161_downstream.fna.motif.h1_1	K00161_downstream	(0.44,0.48]	(46,54]	20.27	8.108108108108109	0	41	35	77.92	6	17.142857142857142	0.9	0	15	0
K00161_downstream.fna.motif.h1_4	K00161_downstream	(0.44,0.48]	(46,54]	0.56	35.13513513513514	0	32	32	79.36	5	15.625	0.5	0	10	0
K00161_downstream.fna.motif.h2_1	K00161_downstream	(0.44,0.48]	(46,54]	26.29	8.108108108108109	0.015972	44	49	78.59	10	20.408163265306122	1.4	0	13.999999999999998	0
K00161_downstream.fna.motif.h2_3	K00161_downstream	(0.44,0.48]	(46,54]	5.78	16.216216216216218	0	40	64	73.28	9	14.0625	1.2	0	13.333333333333334	0
K00161_upstream.fna.motif.h2_4	K00161_upstream	(0.4,0.44]	(41,46]	4.97	19.71830985915493	0	52	70	63.23	11	15.714285714285714	3.5	0	31.818181818181817	0
K00208_upstream.fna.motif.h1_1.h2_4	K00208_upstream	(0.4,0.44]	(41,46]	5.87	18.30985915492958	0.0145551	30	81	77.13	13	16.049382716049383	1.7	2	13.076923076923078	15.384615384615385
K00208_upstream.fna.motif.h1_4.h2_2	K00208_upstream	(0.4,0.44]	(41,46]	0.01	78.87323943661973	0	29	85	87.56	22	25.882352941176475	0.7	0	3.1818181818181817	0
K00208_upstream.fna.motif.h2_1	K00208_upstream	(0.4,0.44]	(41,46]	0.29	46.47887323943662	0.0236219	21	56	87.42	16	28.57142857142857	0.3	0	1.875	0
K00215_upstream.fna.motif.h1_1	K00215_upstream	(0.4,0.44]	(46,54]	0.01	78.82352941176471	0	30	31	76.97	5	16.129032258064516	0.6	0	12	0
K00215_upstream.fna.motif.h1_2.h2_1	K00215_upstream	(0.4,0.44]	(46,54]	10.06	3.5294117647058822	0	54	52	77.59	13	25	3.1	0	23.846153846153847	0
K00215_upstream.fna.motif.h1_3	K00215_upstream	(0.4,0.44]	(46,54]	0.13	54.11764705882353	0	11	50	90.57	12	24	0	0	0	0
K00215_upstream.fna.motif.h1_4.h2_2.h2_3	K00215_upstream	(0.4,0.44]	(46,54]	26.35	1.1764705882352942	0	49	129	73.91	23	17.829457364341085	4.8	0	20.869565217391305	0
K00215_upstream.fna.motif.h1_5.h2_5	K00215_upstream	(0.4,0.44]	(46,54]	5.99	7.0588235294117645	0	53	67	78	12	17.91044776119403	1.5	1	12.5	8.333333333333332
K00215_upstream.fna.motif.h2_4	K00215_upstream	(0.4,0.44]	(46,54]	0.03	67.05882352941177	0	24	67	90.48	17	25.37313432835821	0.2	0	1.1764705882352942	0
K00228_downstream.fna.motif.h1_2.h2_4	K00228_downstream	(0.4,0.44]	(41,46]	0.08	60.563380281690144	0	22	65	87.83	12	18.461538461538463	0.7	0	5.833333333333333	0
K00228_downstream.fna.motif.h1_3	K00228_downstream	(0.4,0.44]	(41,46]	0.1	57.74647887323944	0.0752033	27	56	89.12	12	21.428571428571427	0.1	0	0.8333333333333334	0
K00228_downstream.fna.motif.h2_1	K00228_downstream	(0.4,0.44]	(41,46]	1.82	30.985915492957748	0	17	39	88.46	7	17.94871794871795	0.2	0	2.857142857142857	0
K00228_downstream.fna.motif.h2_2	K00228_downstream	(0.4,0.44]	(41,46]	0.05	64.7887323943662	0	30	55	85.24	11	20	0.6	0	5.454545454545454	0
K00228_upstream.fna.motif.h1_1.h1_4	K00228_upstream	(0.4,0.44]	(41,46]	31.32	1.4084507042253522	0.0276035	22	83	76.7	17	20.481927710843372	1.3	0	7.647058823529412	0
K00228_upstream.fna.motif.h1_2	K00228_upstream	(0.4,0.44]	(41,46]	14.94	1.4084507042253522	0.892493	29	30	63.84	12	40	2.5	2	20.833333333333336	16.666666666666664
K00228_upstream.fna.motif.h1_5.h2_4	K00228_upstream	(0.4,0.44]	(41,46]	0.05	64.7887323943662	0	19	47	85.14	12	25.53191489361702	0.1	0	0.8333333333333334	0
K00228_upstream.fna.motif.h2_2	K00228_upstream	(0.4,0.44]	(41,46]	23.47	1.4084507042253522	1.41976	21	96	83.72	26	27.083333333333332	0.8	0	3.076923076923077	0
K00241_upstream.fna.motif.h1_5	K00241_upstream	(0.4,0.44]	(46,54]	0.01	78.82352941176471	0	37	43	82.13	12	27.906976744186046	1	0	8.333333333333332	0
K00259_upstream.fna.motif.h1_1	K00259_upstream	(0.4,0.44]	(41,46]	2.69	28.169014084507044	0	39	35	70.81	6	17.142857142857142	1.2	1	20	16.666666666666664
K00259_upstream.fna.motif.h2_1	K00259_upstream	(0.4,0.44]	(41,46]	13.29	1.4084507042253522	0	50	62	75.98	6	9.67741935483871	0.8	0	13.333333333333334	0
K00276_upstream.fna.motif.h1_1	K00276_upstream	(0.4,0.44]	(54,63]	21.94	6.666666666666667	2.97033	5	37	69.46	15	40.54054054054054	0.1	0	0.6666666666666667	0
K00286_downstream.fna.motif.h1_3.h2_2	K00286_downstream	(0.44,0.48]	(35,41]	9.64	50	0	48	112	71.76	23	20.535714285714285	3.8	0	16.52173913043478	0
K00286_downstream.fna.motif.h1_5	K00286_downstream	(0.44,0.48]	(35,41]	0.36	50	0	15	32	87.16	11	34.375	0.2	0	1.8181818181818183	0
K00286_downstream.fna.motif.h2_5	K00286_downstream	(0.44,0.48]	(35,41]	5.29	50	0	49	112	66.83	23	20.535714285714285	4.9	0	21.304347826086957	0
K00286_upstream.fna.motif.h1_1	K00286_upstream	(0.36,0.4]	(54,63]	57.04	10	0	39	45	64.07	12	26.666666666666668	2.5	3	20.833333333333336	25
K00297_downstream.fna.motif.h1_1	K00297_downstream	(0.44,0.48]	(41,46]	16.14	6.25	0.0439824	54	44	74.79	10	22.727272727272727	1.7	0	17	0
K00297_downstream.fna.motif.h1_2	K00297_downstream	(0.44,0.48]	(41,46]	4.3	12.5	0	51	39	79.18	7	17.94871794871795	0.3	0	4.285714285714286	0
K00297_downstream.fna.motif.h1_3	K00297_downstream	(0.44,0.48]	(41,46]	0.37	62.5	0.0895511	52	42	76.43	10	23.809523809523807	1.4	0	13.999999999999998	0
K00297_downstream.fna.motif.h1_4	K00297_downstream	(0.44,0.48]	(41,46]	13.34	6.25	0	54	34	70.36	5	14.705882352941178	0.8	0	16	0
K00297_downstream.fna.motif.h2_2.h2_3	K00297_downstream	(0.44,0.48]	(41,46]	25.3	6.25	0.00142878	59	132	74.38	27	20.454545454545457	5.8	0	21.48148148148148	0
K00297_downstream.fna.motif.h2_4	K00297_downstream	(0.44,0.48]	(41,46]	1.71	18.75	0	49	61	81	11	18.0327868852459	2	0	18.181818181818183	0
K00297_upstream.fna.motif.h1_1.h1_3	K00297_upstream	(0.4,0.44]	(46,54]	10.82	3.5294117647058822	0.0749011	60	74	73.48	20	27.027027027027028	4.8	0	24	0
K00297_upstream.fna.motif.h1_2	K00297_upstream	(0.4,0.44]	(46,54]	0.01	78.82352941176471	0	14	35	86.5	4	11.428571428571429	0	0	0	0
K00297_upstream.fna.motif.h1_4	K00297_upstream	(0.4,0.44]	(46,54]	0.09	57.64705882352941	0	51	38	74.35	4	10.526315789473683	0.9	0	22.5	0
K00297_upstream.fna.motif.h2_1	K00297_upstream	(0.4,0.44]	(46,54]	6.75	4.705882352941177	0.0448178	61	105	72.03	17	16.19047619047619	4.8	0	28.235294117647058	0
K00311_upstream.fna.motif.h1_1.h1_5	K00311_upstream	(0.4,0.44]	(46,54]	0.12	55.294117647058826	0	25	65	75.94	15	23.076923076923077	1.3	0	8.666666666666668	0
K00311_upstream.fna.motif.h1_3.h1_4	K00311_upstream	(0.4,0.44]	(46,54]	7.79	4.705882352941177	0	31	65	76.26	14	21.53846153846154	2.1	0	15	0
K00311_upstream.fna.motif.h2_2	K00311_upstream	(0.4,0.44]	(46,54]	3.37	12.941176470588236	0	28	79	75.79	14	17.72151898734177	1.6	0	11.428571428571429	0
K00316_downstream.fna.motif.h1_3	K00316_downstream	(0.4,0.44]	(35,41]	4.24	6.25	6.23476	7	44	45.44	16	36.36363636363637	1.6	5	10	31.25
K00316_upstream.fna.motif.h2_2	K00316_upstream	(0.36,0.4]	(35,41]	0.01	82.35294117647058	3.25449	6	52	70.14	10	19.230769230769234	0.1	0	1	0
K00324_upstream.fna.motif.h1_1	K00324_upstream	(0.4,0.44]	(41,46]	0.03	67.60563380281691	0	36	38	78.8	4	10.526315789473683	0.4	0	10	0
K00324_upstream.fna.motif.h1_2.h2_3	K00324_upstream	(0.4,0.44]	(41,46]	4	22.535211267605636	0	52	77	70.94	12	15.584415584415584	2.3	0	19.166666666666664	0
K00324_upstream.fna.motif.h1_5	K00324_upstream	(0.4,0.44]	(41,46]	10.56	2.8169014084507045	0	43	40	78.82	10	25	1.7	0	17	0
K00324_upstream.fna.motif.h2_1	K00324_upstream	(0.4,0.44]	(41,46]	18.28	1.4084507042253522	0	51	78	78.89	17	21.794871794871796	3.2	0	18.823529411764707	0
K00324_upstream.fna.motif.h2_2	K00324_upstream	(0.4,0.44]	(41,46]	0.19	49.29577464788733	0.309714	13	48	87.47	7	14.583333333333334	0	1	0	14.285714285714285
K00325_downstream.fna.motif.h1_1	K00325_downstream	(0.4,0.44]	(35,41]	22.93	6.25	5.32694	24	37	68.96	13	35.13513513513514	2	1	15.384615384615385	7.6923076923076925
K00325_downstream.fna.motif.h2_2	K00325_downstream	(0.4,0.44]	(35,41]	129.61	6.25	1.92987	49	73	46.77	14	19.17808219178082	6.5	11	46.42857142857143	78.57142857142857
K00383_downstream.fna.motif.h1_1	K00383_downstream	(0.4,0.44]	(41,46]	2.18	29.577464788732396	0.0362755	25	34	79.06	11	32.35294117647059	0.8	0	7.272727272727273	0
K00383_downstream.fna.motif.h1_2	K00383_downstream	(0.4,0.44]	(41,46]	0.02	69.01408450704226	0	26	37	76.83	5	13.513513513513514	0.2	0	4	0
K00383_downstream.fna.motif.h1_4	K00383_downstream	(0.4,0.44]	(41,46]	0.07	60.563380281690144	0	22	43	79.38	6	13.953488372093023	0.6	0	10	0
K00383_downstream.fna.motif.h2_1.h2_3	K00383_downstream	(0.4,0.44]	(41,46]	2.54	29.577464788732396	4.96495e-6	34	104	76.99	16	15.384615384615385	1.7	0	10.625	0
K00383_upstream.fna.motif.h1_1.h2_2	K00383_upstream	(0.4,0.44]	(35,41]	0.7	25	0	42	100	73.62	20	20	2.8	0	13.999999999999998	0
K00383_upstream.fna.motif.h1_3.h2_3	K00383_upstream	(0.4,0.44]	(35,41]	0.87	25	9.29515e-7	36	94	77.99	10	10.638297872340425	1.3	0	13	0
K00383_upstream.fna.motif.h1_5	K00383_upstream	(0.4,0.44]	(35,41]	0.56	25	0.0134678	18	44	84.23	12	27.27272727272727	0.3	1	2.5	8.333333333333332
K00436_downstream.fna.motif.h1_1	K00436_downstream	(0.4,0.44]	(41,46]	51.48	1.4084507042253522	2.93827	21	34	72.93	13	38.23529411764706	1.2	5	9.23076923076923	38.46153846153847
K00436_upstream.fna.motif.h1_1	K00436_upstream	(0.4,0.44]	(46,54]	0.04	67.05882352941177	0.336966	20	37	84.24	12	32.432432432432435	0.6	0	5	0
K00436_upstream.fna.motif.h1_4.h2_2	K00436_upstream	(0.4,0.44]	(46,54]	105.35	1.1764705882352942	0.534922	60	135	55.52	22	16.296296296296298	5.9	1	26.81818181818182	4.545454545454546
K00436_upstream.fna.motif.h1_5	K00436_upstream	(0.4,0.44]	(46,54]	0.01	78.82352941176471	0	23	47	80.54	10	21.27659574468085	0.7	0	6.999999999999999	0
K00436_upstream.fna.motif.h2_1	K00436_upstream	(0.4,0.44]	(46,54]	13.75	2.3529411764705883	0	59	64	60.07	7	10.9375	1.7	0	24.285714285714285	0
K00507_upstream.fna.motif.h1_1	K00507_upstream	(0.44,0.48]	(46,54]	0.09	64.86486486486487	0	44	37	73.86	10	27.027027027027028	1.9	0	19	0
K00507_upstream.fna.motif.h2_1	K00507_upstream	(0.44,0.48]	(46,54]	0.74	35.13513513513514	0.867502	25	54	83.32	14	25.925925925925924	0.4	0	2.857142857142857	0
K00507_upstream.fna.motif.h2_4	K00507_upstream	(0.44,0.48]	(46,54]	0.01	89.1891891891892	0.460064	12	68	78.91	15	22.058823529411764	0.1	0	0.6666666666666667	0
K00507_upstream.fna.motif.h2_5	K00507_upstream	(0.44,0.48]	(46,54]	0.32	37.83783783783784	0	48	65	72.53	17	26.153846153846157	3.6	0	21.176470588235293	0
K00558_upstream.fna.motif.h1_2	K00558_upstream	(0.36,0.4]	(41,46]	113.66	11.11111111111111	0.0314622	48	35	44.99	10	28.57142857142857	6.4	10	64	100
K00560_downstream.fna.motif.h1_3	K00560_downstream	(0.36,0.4]	(41,46]	0.02	55.55555555555556	0.995586	9	36	73.53	5	13.88888888888889	0.1	0	2	0
K00560_downstream.fna.motif.h2_3	K00560_downstream	(0.36,0.4]	(41,46]	0.21	44.44444444444444	0	10	56	81.79	10	17.857142857142858	0	0	0	0
K00566_downstream.fna.motif.h1_2	K00566_downstream	(0.44,0.48]	(35,41]	0.62	50	0.203185	26	48	75.41	11	22.916666666666664	0.5	1	4.545454545454546	9.090909090909092
K00566_downstream.fna.motif.h1_3.h2_3	K00566_downstream	(0.44,0.48]	(35,41]	4.65	50	1.02029	51	122	64.2	35	28.688524590163933	8.5	0	24.285714285714285	0
K00566_downstream.fna.motif.h1_4	K00566_downstream	(0.44,0.48]	(35,41]	0.38	50	0	23	43	88.14	12	27.906976744186046	0.1	0	0.8333333333333334	0
K00566_downstream.fna.motif.h1_5	K00566_downstream	(0.44,0.48]	(35,41]	0.03	50	0	36	32	72.51	3	9.375	0.3	0	10	0
K00566_downstream.fna.motif.h2_1	K00566_downstream	(0.44,0.48]	(35,41]	0.04	50	0	22	53	86.56	12	22.641509433962266	0.3	0	2.5	0
K00566_upstream.fna.motif.h1_2	K00566_upstream	(0.4,0.44]	(41,46]	6.75	14.084507042253522	0.122743	24	53	79.52	13	24.528301886792452	0.9	2	6.923076923076923	15.384615384615385
K00566_upstream.fna.motif.h2_1.h2_2.h1_4	K00566_upstream	(0.4,0.44]	(41,46]	2.41	29.577464788732396	0	58	157	61.54	12	7.643312101910828	4.4	0	36.66666666666667	0
K00566_upstream.fna.motif.h2_3	K00566_upstream	(0.4,0.44]	(41,46]	0.07	60.563380281690144	0	56	79	63.42	10	12.658227848101266	2.5	0	25	0
K00602_downstream.fna.motif.h1_1	K00602_downstream	(0.4,0.44]	(46,54]	1.66	22.35294117647059	0	18	32	88.4	3	9.375	0.1	1	3.3333333333333335	33.33333333333333
K00602_downstream.fna.motif.h1_2	K00602_downstream	(0.4,0.44]	(46,54]	0.01	78.82352941176471	0	31	39	80.53	7	17.94871794871795	0.6	0	8.571428571428571	0
K00602_downstream.fna.motif.h1_3	K00602_downstream	(0.4,0.44]	(46,54]	73	1.1764705882352942	5.93364	30	58	79.85	19	32.758620689655174	2	3	10.526315789473683	15.789473684210526
K00602_downstream.fna.motif.h1_4	K00602_downstream	(0.4,0.44]	(46,54]	0.56	35.294117647058826	0	31	39	80.63	8	20.51282051282051	0.5	0	6.25	0
K00602_downstream.fna.motif.h2_1	K00602_downstream	(0.4,0.44]	(46,54]	2.19	20	0	34	52	81.7	11	21.153846153846153	1.2	0	10.909090909090908	0
K00602_downstream.fna.motif.h2_2	K00602_downstream	(0.4,0.44]	(46,54]	1.27	25.88235294117647	0	36	63	82.38	15	23.809523809523807	1.3	0	8.666666666666668	0
K00602_downstream.fna.motif.h2_3	K00602_downstream	(0.4,0.44]	(46,54]	79.28	1.1764705882352942	6.95728	30	110	66.13	18	16.363636363636363	1.8	4	10	22.22222222222222
K00602_upstream.fna.motif.h1_2	K00602_upstream	(0.44,0.48]	(41,46]	0.05	62.5	0	22	50	85.24	12	24	0.6	0	5	0
K00602_upstream.fna.motif.h1_4.h2_3	K00602_upstream	(0.44,0.48]	(41,46]	9.12	6.25	0	66	112	54.44	7	6.25	1.8	0	25.71428571428572	0
K00602_upstream.fna.motif.h1_5	K00602_upstream	(0.44,0.48]	(41,46]	0.28	62.5	0	50	49	66.64	6	12.244897959183673	2	0	33.33333333333333	0
K00604_downstream.fna.motif.h1_2	K00604_downstream	(0.4,0.44]	(46,54]	29.31	1.1764705882352942	0	57	33	76.25	9	27.27272727272727	2.2	0	24.444444444444446	0
K00606_downstream.fna.motif.h1_2	K00606_downstream	(0.44,0.48]	(35,41]	0.03	50	0	46	51	66.09	8	15.686274509803921	2	0	25	0
K00606_downstream.fna.motif.h2_4	K00606_downstream	(0.44,0.48]	(35,41]	6.33	50	0	30	63	79.52	12	19.047619047619047	1.3	1	10.833333333333334	8.333333333333332
K00606_upstream.fna.motif.h1_2	K00606_upstream	(0.44,0.48]	(54,63]	20.1	25.806451612903224	0.820784	30	52	83.05	10	19.230769230769234	0.3	1	3	10
K00606_upstream.fna.motif.h1_3.h2_1	K00606_upstream	(0.44,0.48]	(54,63]	0.23	87.09677419354838	0	34	75	83.66	18	24	0.2	0	1.1111111111111112	0
K00611_upstream.fna.motif.h1_1	K00611_upstream	(0.4,0.44]	(54,63]	5.4	43.333333333333336	0.975563	27	38	89.2	9	23.684210526315788	0.1	1	1.1111111111111112	11.11111111111111
K00611_upstream.fna.motif.h1_2	K00611_upstream	(0.4,0.44]	(54,63]	24.29	6.666666666666667	1.96585	17	32	83.38	5	15.625	0.3	2	6	40
K00611_upstream.fna.motif.h2_1.h2_2	K00611_upstream	(0.4,0.44]	(54,63]	70.82	3.3333333333333335	8.15371	41	100	71.26	20	20	0.8	3	4	15
K00615_downstream.fna.motif.h1_1	K00615_downstream	(0.4,0.44]	(41,46]	12.86	1.4084507042253522	0	34	36	77.55	12	33.33333333333333	2	0	16.666666666666664	0
K00615_downstream.fna.motif.h2_1	K00615_downstream	(0.4,0.44]	(41,46]	16.17	1.4084507042253522	0	40	49	77.57	12	24.489795918367346	2.1	0	17.5	0
K00615_upstream.fna.motif.h2_1	K00615_upstream	(0.4,0.44]	(46,54]	0.04	67.05882352941177	0	11	75	58.58	10	13.333333333333334	0.7	0	6.999999999999999	0
K00633_upstream.fna.motif.h2_3	K00633_upstream	(0,0.36]	(35,41]	0.15	99.99999999999999	2.83727	7	55	56.23	14	25.454545454545453	1	3	7.142857142857142	21.428571428571427
K00640_downstream.fna.motif.h1_1	K00640_downstream	(0.4,0.44]	(35,41]	8.73	6.25	0	45	36	77.07	13	36.11111111111111	2.5	0	19.230769230769234	0
