motif	category	tax.bio	kingdom	phylum	class	order	family	genus	species
K00008_upstream.fna.motif.h1_2	High covariation	1469607.SAMN00203911	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	119859 Tolypothrichaceae	111782 Tolypothrix	379535 [Scytonema hofmanni] UTEX B 1581
K00008_upstream.fna.motif.h1_2	High covariation	221288.SAMN02261251	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892258 Symphyonemataceae	221282 Mastigocladopsis	221287 Mastigocladopsis repens
K00008_upstream.fna.motif.h1_2	High covariation	224013.SAMN03796038	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	224012 Nostoc piscinale
K00008_upstream.fna.motif.h1_2	High covariation	317936.SAMN02261332	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	317936 Nostoc sp. PCC 7107
K00008_upstream.fna.motif.h1_2	High covariation	52271.SAMN04536551	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1163 Anabaena	52271 Anabaena sp. CA = ATCC 33047
K00008_upstream.fna.motif.h1_2	High covariation	1751286.SAMD00042755	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	1751286 Nostoc sp. NIES-3756
K00008_upstream.fna.motif.h1_2	High covariation	63737.SAMN02598449	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	272131 Nostoc punctiforme
K00008_upstream.fna.motif.h1_2	High covariation	1173024.SAMN02597161	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892263 Hapalosiphonaceae	1190 Fischerella	1173024 Fischerella sp. PCC 9605
K00008_upstream.fna.motif.h1_2	High covariation	306281.SAMN02469884	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892263 Hapalosiphonaceae	1190 Fischerella	92938 Fischerella muscicola
K00008_upstream.fna.motif.h1_2	High covariation	128403.SAMN02469880	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1182 Scytonemataceae	1203 Scytonema	34078 Scytonema hofmannii
K00008_upstream.fna.motif.h1_2	High covariation	1479485.SAMN02697214	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	119859 Tolypothrichaceae	111782 Tolypothrix	1246981 Tolypothrix bouteillei
K00008_upstream.fna.motif.h1_2	High covariation	211165.SAMN02469883	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892261 Chlorogloeopsidaceae	1123 Chlorogloeopsis	1124 Chlorogloeopsis fritschii
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	1471522.SAMN02671393	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471522 Prochlorococcus sp. scB245a_520K10
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	93057.SAMN02769555	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	292563.SAMN02232010	2 Bacteria	1117 Cyanobacteria	NA	1118 Chroococcales	1890452 Cyanobacteriaceae	102234 Cyanobacterium	102235 Cyanobacterium stanieri
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	1617448.SAMD00027151	2 Bacteria	1117 Cyanobacteria	NA	1118 Chroococcales	1890464 Chroococcaceae	669357 Geminocystis	1617448 Geminocystis sp. NIES-3709
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	402777.SAMN02261340	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892252 Microcoleaceae	1501433 Kamptonema	331992 Kamptonema formosum
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	551115.SAMN02598476	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	264688 Trichormus	1164 Trichormus azollae
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	272123.SAMN02232008	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1163 Anabaena	1165 Anabaena cylindrica
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	163908.SAMN02261341	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1163 Anabaena	163908 Anabaena sp. PCC 7108
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	1853259.SAMN05208169	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	264688 Trichormus	1853259 Trichormus sp. NMC-1
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	317936.SAMN02261332	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	317936 Nostoc sp. PCC 7107
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	1469607.SAMN00203911	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	119859 Tolypothrichaceae	111782 Tolypothrix	379535 [Scytonema hofmanni] UTEX B 1581
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	306281.SAMN02469884	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892263 Hapalosiphonaceae	1190 Fischerella	92938 Fischerella muscicola
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	1173024.SAMN02597161	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892263 Hapalosiphonaceae	1190 Fischerella	1173024 Fischerella sp. PCC 9605
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1041938.SAMN02954344	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	59921.SAMN02769552	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1471522.SAMN02671393	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471522 Prochlorococcus sp. scB245a_520K10
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	74545.SAMN02769556	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1219.SAMEA3368574	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	146891.SAMN02603921	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	167546.SAMN02603288	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	59926.SAMN02769562	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1471493.SAMN02671364	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471493 Prochlorococcus sp. scB243_498I20
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	167548.SAMN02769558	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	93060.SAMN02598410	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1219.SAMEA3368575	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1471456.SAMN02671327	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471456 Prochlorococcus sp. scB241_528N17
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1961091.SAMN06345451	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1961091 Prochlorococcus sp. HOT208_60m_813I02
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	167550.SAMN02769560	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1924286.SAMN06061932	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1924286 Prochlorococcus sp. RS01
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1219.SAMEA3368576	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	93057.SAMN02769555	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1471501.SAMN02671372	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471501 Prochlorococcus sp. scB245a_518A17
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1219.SAMEA3368577	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1471509.SAMN02671380	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471509 Prochlorococcus sp. scB245a_519A13
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1501268.SAMN02769551	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1501268 Prochlorococcus sp. MIT 0604
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1471469.SAMN02671340	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471469 Prochlorococcus sp. scB243_495D8
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	59925.SAMN02769550	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1471508.SAMN02671379	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471508 Prochlorococcus sp. scB245a_518O7
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	74546.SAMN02598321	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1471459.SAMN02671330	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1471459 Prochlorococcus sp. scB241_528O2
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	167542.SAMN02603924	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	59919.SAMEA3138209	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1041939.SAMN02954344	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1499499.SAMN02769567	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1499499 Prochlorococcus sp. MIT 0602
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	167539.SAMN02603142	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	93059.SAMN00622972	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	166318.SAMN02261394	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	166318 Synechococcus sp. WH 8016
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	64471.SAMN02604031	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	64471 Synechococcus sp. CC9311
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1916956.SAMN06006676	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	1916956 Synechococcus sp. SynAce01
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	292564.SAMN02261330	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	167375 Cyanobium	59930 Cyanobium gracile
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	180281.SAMN02436316	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	167375 Cyanobium	180281 Cyanobium sp. PCC 7001
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	232348.SAMN00010394	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	232348 Synechococcus sp. CB0101
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	232363.SAMN00010406	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	232363 Synechococcus sp. CB0205
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	316278.SAMEA3138265	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	316278 Synechococcus sp. RCC307
K00031_upstream.fna.motif.h2_3.h2_5	High power (low covariation)	1140.SAMN02598254	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	32046 Synechococcus elongatus
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	551115.SAMN02598476	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	264688 Trichormus	1164 Trichormus azollae
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	1853259.SAMN05208169	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	264688 Trichormus	1853259 Trichormus sp. NMC-1
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	163908.SAMN02261341	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1163 Anabaena	163908 Anabaena sp. PCC 7108
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	272123.SAMN02232008	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1163 Anabaena	1165 Anabaena cylindrica
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	1647413.SAMN03568000	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1163 Anabaena	1647413 Anabaena sp. WA102
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	46234.SAMN02604187	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1163 Anabaena	46234 Anabaena sp. 90
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	398007.SAMN02471998	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892259 Aphanizomenonaceae	748770 Dolichospermum	109265 Dolichospermum circinale
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	643473.SAMN02261254	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892264 Fortieaceae	1049006 Fortiea	1892405 Fortiea contorta
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	99598.SAMN02261328	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1185 Rivulariaceae	1186 Calothrix	99598 Calothrix sp. PCC 7507
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	56107.SAMN02261342	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	56106 Cylindrospermum	142864 Cylindrospermum stagnale
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	63737.SAMN02598449	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	272131 Nostoc punctiforme
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	1188.SAMN03450030	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	119859 Tolypothrichaceae	111782 Tolypothrix	1188 Tolypothrix sp. PCC 7601
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	313624.SAMN01915661	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892259 Aphanizomenonaceae	159191 Nodularia	70799 Nodularia spumigena
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	224013.SAMN03796038	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	224012 Nostoc piscinale
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	317936.SAMN02261332	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	317936 Nostoc sp. PCC 7107
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	1751286.SAMD00042755	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	1751286 Nostoc sp. NIES-3756
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	103690.SAMD00061094	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	103690 Nostoc sp. PCC 7120
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	240292.SAMN02598253	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	264688 Trichormus	264691 Trichormus variabilis
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	52271.SAMN04536551	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1163 Anabaena	52271 Anabaena sp. CA = ATCC 33047
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	28072.SAMN02261333	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	28072 Nostoc sp. PCC 7524
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	1469607.SAMN00203911	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	119859 Tolypothrichaceae	111782 Tolypothrix	379535 [Scytonema hofmanni] UTEX B 1581
K00031_upstream.fna.motif.h2_4	Conserved sequence (low covariation and power)	221288.SAMN02261251	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892258 Symphyonemataceae	221282 Mastigocladopsis	221287 Mastigocladopsis repens
K00036_upstream.fna.motif.h1_1	High covariation	388467.SAMN02867752	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892252 Microcoleaceae	54304 Planktothrix	1160 Planktothrix agardhii
K00036_upstream.fna.motif.h1_1	High covariation	163908.SAMN02261341	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1163 Anabaena	163908 Anabaena sp. PCC 7108
K00036_upstream.fna.motif.h1_1	High covariation	56107.SAMN02261342	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	56106 Cylindrospermum	142864 Cylindrospermum stagnale
K00036_upstream.fna.motif.h1_1	High covariation	1173024.SAMN02597161	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892263 Hapalosiphonaceae	1190 Fischerella	1173024 Fischerella sp. PCC 9605
K00036_upstream.fna.motif.h1_1	High covariation	1752063.SAMD00042785	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892263 Hapalosiphonaceae	1190 Fischerella	1752063 Fischerella sp. NIES-3754
K00036_upstream.fna.motif.h1_1	High covariation	306281.SAMN02469884	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892263 Hapalosiphonaceae	1190 Fischerella	92938 Fischerella muscicola
K00036_upstream.fna.motif.h1_1	High covariation	1469607.SAMN00203911	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	119859 Tolypothrichaceae	111782 Tolypothrix	379535 [Scytonema hofmanni] UTEX B 1581
K00036_upstream.fna.motif.h1_1	High covariation	1233231.SAMN03274355	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1182 Scytonemataceae	1203 Scytonema	1233230 Scytonema tolypothrichoides
K00036_upstream.fna.motif.h1_1	High covariation	128403.SAMN02469880	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1182 Scytonemataceae	1203 Scytonema	34078 Scytonema hofmannii
K00036_upstream.fna.motif.h1_1	High covariation	1479485.SAMN02697214	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	119859 Tolypothrichaceae	111782 Tolypothrix	1246981 Tolypothrix bouteillei
K00036_upstream.fna.motif.h1_1	High covariation	1173026.SAMN02261347	2 Bacteria	1117 Cyanobacteria	NA	1118 Chroococcales	1890464 Chroococcaceae	102231 Gloeocapsa	1173026 Gloeocapsa sp. PCC 7428
K00036_upstream.fna.motif.h1_1	High covariation	247279.SAMN05890687	2 Bacteria	1117 Cyanobacteria	NA	1118 Chroococcales	1890464 Chroococcaceae	329162 Chroogloeocystis	329163 Chroogloeocystis siderophila
K00036_upstream.fna.motif.h1_1	High covariation	102125.SAMN02261354	2 Bacteria	1117 Cyanobacteria	NA	52604 Pleurocapsales	1890499 Xenococcaceae	52607 Xenococcus	102125 Xenococcus sp. PCC 7305
K00036_upstream.fna.motif.h1_1	High covariation	755178.SAMN02261329	2 Bacteria	1117 Cyanobacteria	NA	1118 Chroococcales	1890452 Cyanobacteriaceae	102234 Cyanobacterium	379064 Cyanobacterium aponinum
K00036_upstream.fna.motif.h1_1	High covariation	1617448.SAMD00027151	2 Bacteria	1117 Cyanobacteria	NA	1118 Chroococcales	1890464 Chroococcaceae	669357 Geminocystis	1617448 Geminocystis sp. NIES-3709
K00036_upstream.fna.motif.h1_1	High covariation	497965.SAMN00000663	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892249 Cyanothecaceae	43988 Cyanothece	497965 Cyanothece sp. PCC 7822
K00036_upstream.fna.motif.h1_1	High covariation	65393.SAMN00000286	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892249 Cyanothecaceae	43988 Cyanothece	65393 Cyanothece sp. PCC 7424
K00036_upstream.fna.motif.h1_1	High covariation	1499499.SAMN02769567	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1499499 Prochlorococcus sp. MIT 0602
K00075_upstream.fna.motif.h2_1	High power (low covariation)	1165094.SAMEA2272692	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	98443 Richelia	1164990 Richelia intracellularis
K00075_upstream.fna.motif.h2_1	High power (low covariation)	1170562.SAMN02261327	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1185 Rivulariaceae	1186 Calothrix	32054 Calothrix parietina
K00075_upstream.fna.motif.h2_1	High power (low covariation)	1137096.SAMN05890688	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1185 Rivulariaceae	1186 Calothrix	1137096 Calothrix sp. HK-06
K00075_upstream.fna.motif.h2_1	High power (low covariation)	32057.SAMN02261256	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1185 Rivulariaceae	1186 Calothrix	32057 Calothrix sp. PCC 7103
